1,2,3,4,5,6,7,  11,14,10,13,9,12,8,  77
1,2,3,5,8,12,4,  14,10,13,9,11,6,7,  70
1,2,3,5,12,8,4,  10,14,9,13,7,6,11,  70
1,2,3,7,5,6,4,  14,11,13,10,9,12,8,  77
1,2,3,7,12,6,4,  10,14,9,13,5,8,11,  70
1,2,3,9,5,7,8,  13,11,12,10,6,14,4,  70
1,2,3,9,7,5,8,  11,13,10,12,4,14,6,  70
1,2,3,11,8,6,4,  14,10,13,9,5,12,7,  70
1,2,5,6,4,7,3,  14,11,13,8,12,10,9,  77
1,2,5,7,3,4,6,  12,13,11,10,9,14,8,  77
1,2,6,12,14,13,8,  10,11,9,7,3,5,4,  49
1,2,7,4,5,6,3,  11,14,10,9,13,8,12,  77
1,2,7,14,13,9,3,  12,10,11,5,4,6,8,  56
1,2,11,7,6,14,8,  10,12,9,3,13,4,5,  56
1,2,11,13,8,9,12,  7,14,6,5,4,10,3,  49
1,2,12,13,6,3,5,  9,14,8,4,7,11,10,  63
1,3,2,4,7,6,5,  12,13,10,14,8,11,9,  77
1,3,2,4,11,12,9,  10,13,8,14,6,7,5,  63
1,3,2,5,12,8,4,  11,13,9,14,6,7,10,  70
1,3,2,6,12,7,4,  11,13,9,14,5,8,10,  70
1,3,2,7,14,10,5,  11,12,9,13,4,6,8,  63
1,3,5,7,9,11,13,  8,14,6,12,4,10,2,  56
1,3,5,13,9,11,7,  14,8,12,6,4,10,2,  56
1,3,6,5,4,7,2,  14,11,12,8,13,9,10,  77
1,3,6,5,4,10,13,  9,14,7,11,8,12,2,  63
1,3,6,5,4,14,9,  13,10,11,7,12,8,2,  63
1,3,6,7,2,4,5,  13,12,11,9,10,14,8,  77
1,3,6,14,9,4,5,  12,11,10,8,2,13,7,  63
1,3,7,4,6,5,2,  11,14,9,10,12,8,13,  77
1,3,9,11,7,13,5,  14,8,12,2,10,6,4,  56
1,3,9,13,5,7,11,  10,12,8,6,4,14,2,  56
1,3,9,13,14,7,2,  10,12,8,6,4,5,11,  56
1,3,13,7,9,11,5,  8,14,6,4,12,2,10,  56
1,3,13,10,12,11,6,  7,14,5,4,8,2,9,  49
1,4,2,3,6,7,5,  13,12,10,14,9,11,8,  77
1,4,2,6,5,9,8,  14,10,11,12,7,13,3,  70
